query	subject	pident	Aln_length	mismatch	gapopen	evalue	bitscore	query_PITG	name	category	function	NSM	20H	SPO	ZOO	induced	Harab	OnlyFlag	FullName	bestByPITG	bestByAurli1	PROT	BEST
XP_002907680.1_PITG_02788	jgi|Aurli1|84266|e_gw1.23.293.1	51.3	152	67	2	4.45E-47	149	2788	DLE1	Outer dynein arm	Outer dynein arm light chain protein	0.21	0.68	2.33	0.78	yes	no	yes	"DLE1 (MOT54, ODA-LC4)"		yes	no	yes
XP_002901735.1_PITG_10933	jgi|Aurli1|84586|e_gw1.24.198.1	39.8	206	83	3	2.34E-48	158	10933	MAS2	Mastigoneme	Mastigoneme (possibly truncated gene)	0.05	2.04	1.17	0.73	yes	no	yes	MAS2		no		yes
XP_002900150.1_PITG_12763	jgi|Aurli1|84805|e_gw1.25.187.1	47	379	188	4	2.09E-107	323	12763	FBB4	Protein interaction	IQ calmodulin-binding motif protein	0.09	1.2	0.87	1.83	yes	no	yes	FBB4	yes	yes		yes
XP_002895941.1_PITG_20157	jgi|Aurli1|84975|e_gw1.26.56.1	31.5	797	277	18	9E-100	328	20157	DIC4	Inner dynein arm	Axonemal inner arm protein	ns	ns	ns	ns	ns	no	yes	"DIC4 (IC138, BOP5)"	yes	yes		yes
XP_002907368.1_PITG_02442	jgi|Aurli1|85076|e_gw1.27.121.1	52.7	131	59	1	2.05E-42	150	2442	MOT15	Metabolism	Cysteine peptidase 	ns	ns	ns	ns	ns	no	yes	MOT15		yes	no	yes
XP_002997410.1_PITG_19093	jgi|Aurli1|85687|e_gw1.30.45.1	35.4	350	196	10	3.06E-57	191	19093	FAP240	Uncharacterized	Uncharacterized flagella-associated protein	0.16	1.14	2.29	0.42	yes	no	yes	FAP240	yes	yes		yes
XP_002998194.1_PITG_05972	jgi|Aurli1|85749|e_gw1.31.24.1	34.3	566	290	16	1.34E-81	276	5972	FAP74	Central pair	Central pair projection protein	0.25	0.71	2.48	0.56	yes	no	yes	FAP74		yes		yes
XP_002907676.1_PITG_02784	jgi|Aurli1|85774|e_gw1.31.50.1	65	257	88	1	9.76E-45	157	2784	DAU1	Outer dynein arm	Outer dynein arm protein with leucine-rich repeats	0.29	0.59	1.89	1.23	yes	no	yes	"DAU1 (MOT49, ODA7)"		yes		yes
XP_002997896.1_PITG_18274	jgi|Aurli1|86123|e_gw1.35.23.1	27.3	271	133	10	7.66E-10	60.5	18274	TB-PEP	Metabolism	Subtilisin-related peptidase	0.72	0.94	1.19	1.16	no	yes	no	TB-PEP		yes		yes
XP_002901046.1_PITG_11472	jgi|Aurli1|86266|e_gw1.36.102.1	38.3	543	329	2	4.35E-100	316	11472	IFT72	Intraflagellar transport	Intraflagellar transport protein	0.05	1.02	2.51	0.42	yes	no	yes	IFT72/74	yes	yes		yes
XP_002906743.1_PITG_03691	jgi|Aurli1|8709|gm1.8709_g	25.5	243	157	9	3.21E-13	70.1	3691	BBC52	Basal body	Basal body EF-hand protein	0.23	1.49	2.06	0.23	yes	no	yes	BBC52		yes	no	yes
XP_002895751.1_PITG_20382	jgi|Aurli1|92008|estExt_Genewise1.C_8_t10210	27.9	154	93	3	3.26E-14	65.1	20382	FM128	Protein interaction	Protein chaperone	0.74	0.82	1.45	2.27	no	yes	no	FM128 (DNJ29)		yes		yes
XP_002907526.1_PITG_02616	jgi|Aurli1|93432|estExt_Genewise1.C_10_t20037	66	188	58	3	1.93E-75	224	2616	CEN1/2	Regulatory	Centrin (caltractin)	0.05	2.17	1.12	0.66	yes	no	yes	CEN1/2	yes	yes	no	yes
XP_002905394.1_PITG_04651	jgi|Aurli1|93773|estExt_Genewise1.C_11_t10116	30.9	1164	674	28	5.21E-149	477	4651	MOT46	Intraflagellar transport	Intraflagellar transport protein	ns	ns	ns	ns	ns	yes	yes	MOT46	yes	yes		yes
