protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
A0A6S8CGZ9,tr|A0A6S8CGZ9|A0A6S8CGZ9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5573 PE=4 SV=1;tr|A0A6S8C9I8|A0A6S8C9I8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5574 PE=4 SV=1,367297.0778,410503.3524,427029.598,272936.2981,302782.6737,345999.0481,263625.2453,311819.2442,352772.5651,274628.9412,314915.2019,360056.2405,271056.335,308390,370881.5542
A0A6S8CHA3,tr|A0A6S8CHA3|A0A6S8CHA3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3889 PE=4 SV=1,84011.38003,41785.35427,53194.64994,76850.47849,38210.65452,48706.41629,90722.25928,41093.49481,53055.04554,82360.08309,40608.11374,53437.46838,89317.58842,42157,59708.76642
A0A6S8CHH1,tr|A0A6S8CHH1|A0A6S8CHH1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6092 PE=4 SV=1,103677.7918,73735.77216,87808.49282,95649.38474,74765.30795,78615.33674,71462.69336,79185.0392,66413.32028,67564.33434,59550.06989,58984.18542,74508.16327,68416,59805.47141
A0A6S8CHK9,tr|A0A6S8CHK9|A0A6S8CHK9_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5623 PE=4 SV=1,122859.2187,50450.9422,62941.06594,100092.8667,59903.86356,60715.52801,99093.83832,59717.4053,59205.9518,93146.09638,55947.16061,54697.36728,104526.2046,57984,61855.37847
A0A6S8CHX1,tr|A0A6S8CHX1|A0A6S8CHX1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3917 PE=3 SV=1,2447157.718,3026846.526,2594733.703,1969790.969,2197393.872,1946746.524,1592683.318,1775500.133,1423150.861,1399088.337,1450800.481,1290180.246,1593728.038,1635600,1474213.884
A0A6S8CHX9,tr|A0A6S8CHX9|A0A6S8CHX9_9STRA H(+)-exporting diphosphatase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6743 PE=3 SV=1,1125383.032,1079046.111,1168390.187,930840.7557,739291.9968,779765.287,818298.5509,618775.6969,694818.1538,770196.0573,575854.1185,653663.7595,816261.3299,593150,681185.1909
A0A6S8CI95,tr|A0A6S8CI95|A0A6S8CI95_9STRA FAD-binding FR-type domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6959 PE=4 SV=1,601217.8478,296203.1212,718049.5033,567734.9855,267564.78,690679.7307,546175.632,266155.5003,700593.3259,537783.1519,251675.1809,624233.6889,566064.132,268340,696204.3119
A0A6S8CI98,tr|A0A6S8CI98|A0A6S8CI98_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7234 PE=3 SV=1,366506.9338,621873.8234,484915.9584,324219.577,548659.312,381654.8439,328119.8464,544991.0686,402128.2534,329113.4835,550902.1325,375355.0128,376555.2163,616550,467300.0133
A0A6S8CID3,tr|A0A6S8CID3|A0A6S8CID3_9STRA Costars domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3939 PE=4 SV=1,278452.1962,163832.8769,207531.0531,267908.7502,162650.9282,186752.4739,341206.2637,200469.0668,255951.4558,407160.3286,215387.0352,297389.6479,505016.0158,226300,366643.2489
A0A6S8CIE5,tr|A0A6S8CIE5|A0A6S8CIE5_9STRA Tubulin-specific chaperone A OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3941 PE=3 SV=1,193950.3819,225383.5609,221415.6123,181764.7521,221208.9108,211333.999,246503.8037,229684.5635,239020.2281,235021.8599,204486.0845,248465.1957,230501.8993,219010,241523.7032
A0A6S8CIG3,tr|A0A6S8CIG3|A0A6S8CIG3_9STRA Asparagine--tRNA ligase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3945 PE=3 SV=1,2057153.537,2345856.173,2200884.117,2371937.538,2821890.737,2621629.838,2040044.712,2414637.558,2249301.996,1777007.363,2119468.112,1998569.344,1852021.505,2154000,2041072.284
A0A6S8CII0,tr|A0A6S8CII0|A0A6S8CII0_9STRA Aminotran_1_2 domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7318 PE=4 SV=1,114690.7645,122977.274,143995.5829,117242.6456,138844.6455,158946.9457,126785.2894,149099.7765,171840.3639,138904.9406,162094.6499,195600.5192,146053.317,159090,198603.4011
A0A6S8CIM2,tr|A0A6S8CIM2|A0A6S8CIM2_9STRA CN hydrolase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6173 PE=3 SV=1,2594505.952,2164296.928,2585885.7,2766640.13,2394208.69,2787024.79,3089973.397,2765204.146,3442721.611,3847536.7,3580630.714,4130303.677,3646694.438,3362900,3877989.584
A0A6S8CIN2,tr|A0A6S8CIN2|A0A6S8CIN2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5715 PE=3 SV=1,1278235.027,1623532.931,1688607.41,1205752.571,1437802.179,1505693.319,954042.0329,1143530.966,1118122.038,857394.6712,1040149.649,1054082.977,941303.7047,1182900,1245345.402
A0A6S8CIZ4,tr|A0A6S8CIZ4|A0A6S8CIZ4_9STRA AAA_16 domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5741 PE=4 SV=1,65505.66254,165360.1891,28277.31125,46333.0338,114653.2463,17372.46251,44619.91321,104685.6344,17113.29633,48986.47703,122967.2831,19342.36669,64753.28376,144010,24712.30417
A0A6S8CJ03,tr|A0A6S8CJ03|A0A6S8CJ03_9STRA Reticulon domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7269 PE=4 SV=1,1479040.59,1246286.803,1327200.504,1243086.981,1005103.483,1116943.271,961552.8799,868366.7079,952903.4081,966713.951,808462.9979,905619.2157,1041270.136,892840,1013181.787
A0A6S8CJ12,tr|A0A6S8CJ12|A0A6S8CJ12_9STRA Abhydrolase_2 domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6997 PE=4 SV=1,387437.576,495727.3765,410842.2893,385094.1345,492705.9333,408873.1001,486066.927,570012.1655,501755.7717,438193.4631,554331.9944,490995.7326,460902.5952,589100,539088.5465
A0A6S8CJ14,tr|A0A6S8CJ14|A0A6S8CJ14_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3976 PE=3 SV=1,610318.127,617339.6151,860944.7576,547264.0474,549632.238,741904.2252,529300.8971,511368.0616,744950.823,534718.9435,506769.8616,678995.5104,556607.2402,532700,746216.3135
A0A6S8CJ31,tr|A0A6S8CJ31|A0A6S8CJ31_9STRA tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7014 PE=3 SV=1,95329.51173,54535.54792,93747.99866,105670.1237,56587.8075,112125.7922,94883.37814,51141.64958,120223.313,86871.76506,46064.80636,118338.0709,91043.66796,49978,113670.1522
A0A6S8CJ35,tr|A0A6S8CJ35|A0A6S8CJ35_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6906 PE=4 SV=1,153146.2557,69178.6542,150393.3699,161648.8345,77429.70629,160936.4792,156784.8182,91008.79097,162516.592,158982.8009,87945.38849,163470.6652,153019.4817,81810,158464.8598
A0A6S8CJ71,tr|A0A6S8CJ71|A0A6S8CJ71_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7279 PE=4 SV=1,32597.5271,13881.35929,41245.30796,27090.35196,8469.928762,33186.85664,33440.81248,10003.59532,45311.90807,31029.04895,7727.551309,41296.95618,34326.4933,11555,45766.53307
A0A6S8CJ97,tr|A0A6S8CJ97|A0A6S8CJ97_9STRA USP domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6823 PE=4 SV=1,11005.88858,88143.09961,108523.0299,9839.220415,88178.51148,99254.94881,10268.47907,108415.0662,114445.8215,8828.421918,108335.9691,97194.63254,9358.49968,106890,89147.67632
A0A6S8CJB1,tr|A0A6S8CJB1|A0A6S8CJB1_9STRA S-adenosylmethionine synthase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5768 PE=3 SV=1,76638.51909,114682.0593,55682.30011,103488.4657,155323.5794,85143.64328,112744.9397,166855.7466,85946.85443,119965.2149,182269.6983,107930.5277,125351.6073,189790,113227.2194
A0A6S8CJE4,tr|A0A6S8CJE4|A0A6S8CJE4_9STRA VWFA domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6235 PE=4 SV=1,80572.8913,91763.78423,252213.4701,63783.43491,84742.8666,204766.1414,75876.00124,86552.8465,224686.6683,60461.20762,83135.29219,194238.4664,67980.54649,100520,219544.2105
A0A6S8CJH1,tr|A0A6S8CJH1|A0A6S8CJH1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3998 PE=3 SV=1,307725.6692,253896.5717,90349.45789,315865.1438,314822.6327,104559.5724,277369.547,291283.1523,85222.05872,262243.703,258514.1804,78766.78705,292567.6716,267930,80521.82978
A0A6S8CJK5,tr|A0A6S8CJK5|A0A6S8CJK5_9STRA PAS domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4006 PE=4 SV=1,37971.59618,14361.50809,122363.349,44863.13455,17741.71069,116686.1385,55404.83154,14906.10292,123087.7057,47651.06586,16279.9274,96533.064,45757.97516,16290,104356.6257
A0A6S8CJL3,tr|A0A6S8CJL3|A0A6S8CJL3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5794 PE=4 SV=1,19134.56313,24079.03233,65201.84424,22328.49682,24967.71304,60528.5598,22547.89147,35709.55147,66831.96228,21367.74603,43389.30687,65642.43488,22841.59856,53113,69881.89284
A0A6S8CJM7,tr|A0A6S8CJM7|A0A6S8CJM7_9STRA M20_dimer domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7302 PE=4 SV=1,109928.1034,156454.0495,191037.4674,86934.20493,147236.1321,166197.9563,68600.89621,135044.1778,170506.7398,64278.3357,135225.6716,146384.1986,71314.63499,146820,156411.371
A0A6S8CKZ0,tr|A0A6S8CKZ0|A0A6S8CKZ0_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7411 PE=3 SV=1;tr|A0A6S8CJQ6|A0A6S8CJQ6_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7410 PE=3 SV=1,1251915.058,1482065.633,1230893.39,1506775.569,1724612.652,1434741.281,1150859.117,1405559.874,1183098.524,1121675.343,1365934.715,1053535.724,1160240.309,1442700,1179872.541
A0A6S8CJQ8,tr|A0A6S8CJQ8|A0A6S8CJQ8_9STRA Calmodulin (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6851 PE=4 SV=1,391257.5136,252436.0793,442490.9167,208557.345,149688.7164,232679.5359,222162.0808,158534.7546,226043.4858,227895.3869,168042.507,241083.3557,308327.2838,219870,340616.4732
A0A6S8CJS2,tr|A0A6S8CJS2|A0A6S8CJS2_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4020 PE=3 SV=1,166992.8482,132704.3439,131812.5629,186929.7273,146334.1487,116300.217,213324.5003,159474.3777,133455.1834,174957.5403,138054.5305,106150.1301,193635.7639,146860,134730.3505
A0A6S8CJU9,tr|A0A6S8CJU9|A0A6S8CJU9_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5816 PE=4 SV=1,95285.91758,175392.7215,275433.8071,59672.06887,114784.9967,156777.6351,44138.56112,95791.1818,118506.9968,43113.11925,102582.9198,115138.4628,41499.00038,94899,102528.7819
A0A6S8CJW4,tr|A0A6S8CJW4|A0A6S8CJW4_9STRA Ornithine transcarbamylase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4028 PE=3 SV=1,1387329.392,1221372.522,964171.4634,1679304.063,1499623.518,1224521.901,1857098.025,1612955.028,1311590.306,2096093.589,1830986.68,1511757.059,1946477.975,1683500,1392432.502
A0A6S8CK26,tr|A0A6S8CK26|A0A6S8CK26_9STRA ER membrane protein complex subunit 2 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4041 PE=3 SV=1,710693.6618,613406.786,928926.9167,739816.8408,734427.3669,1020007.447,708486.6792,643787.1069,974148.6198,697588.9115,659787.294,955698.9806,756214.0024,679310,1033489.835
A0A6S8CK42,tr|A0A6S8CK42|A0A6S8CK42_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5836 PE=4 SV=1;tr|A0A6S8C195|A0A6S8C195_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5837 PE=4 SV=1,393949.4524,240112.5785,345004.0694,394301.7621,244761.8273,362694.3502,440848.339,233840.2161,365621.7433,391051.3477,217086.423,388622.867,431587.355,248780,414721.1507
A0A6S8CK51,tr|A0A6S8CK51|A0A6S8CK51_9STRA Eukaryotic translation initiation factor 3 subunit B OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5838 PE=3 SV=1,2377298.09,2607312.94,2285620.765,2512857.759,2729158.729,2486557.294,2078750.245,2087706.85,1965877.884,1957941.568,2061025.753,1848500.306,2039585.067,2100300,1966812.401
A0A6S8CK87,"tr|A0A6S8CK87|A0A6S8CK87_9STRA Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4054 PE=3 SV=1",4400502.681,4574204.759,3740436.702,4679627.825,4646633.688,3855500.149,4762973.436,4676707.453,3842808.839,4715262.131,4634976.467,3762549.406,4951037.088,4978900,3994154.964
A0A6S8CK96,tr|A0A6S8CK96|A0A6S8CK96_9STRA RNA cytidine acetyltransferase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7348 PE=3 SV=1,365591.4566,360712.9728,256070.2921,394874.3757,368708.5437,246186.7903,367148.8386,433330.9124,231517.143,362580.4749,413676.5717,229591.0347,371989.8203,454780,246776.8139
A0A6S8CKA3,tr|A0A6S8CKA3|A0A6S8CKA3_9STRA Ribosomal_L23eN domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5857 PE=3 SV=1,1655651.398,1700757.657,2378411.364,853251.6056,758061.3606,955671.2079,809307.4641,774307.5324,994187.7714,852608.6697,821498.5454,1091575.914,963905.7886,950690,1205350.127
A0A6S8CKE6,tr|A0A6S8CKE6|A0A6S8CKE6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7093 PE=4 SV=1,610209.1416,714734.4087,545286.566,375817.7933,482986.8081,317162.7978,413946.3492,648930.8167,303915.5363,388979.3592,556228.2624,312518.1636,424626.8128,571220,364088.3269
A0A6S8CKL1,tr|A0A6S8CKL1|A0A6S8CKL1_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7106 PE=3 SV=1,110396.7405,171440.8011,84267.02276,82920.18322,147874.6148,57328.52703,101785.682,154282.2337,73547.62936,96753.10732,140624.3363,80590.96498,105656.3088,151210,93961.43595
A0A6S8CKN5,tr|A0A6S8CKN5|A0A6S8CKN5_9STRA Sulfatase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7393 PE=3 SV=1,248846.3177,283182.7842,272246.2572,239587.2789,267210.0674,362778.2462,240928.2334,322426.3294,460355.441,243537.4408,341639.1105,516789.6086,236349.2046,342660,540342.1297
A0A6S8CKR1,tr|A0A6S8CKR1|A0A6S8CKR1_9STRA AB hydrolase-1 domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7395 PE=4 SV=1;tr|A0A6S8CKY1|A0A6S8CKY1_9STRA AB hydrolase-1 domain-containing protein OS=Aurantiochytrium limacinum OX=8,1241888.403,1100905.768,873604.2085,1241941.754,1043767.156,865602.87,1689173.03,1410403.292,1133348.547,1610022.601,1366660.063,1194374.421,1565166.201,1302600,1165271.281
A0A6S8CKZ2,tr|A0A6S8CKZ2|A0A6S8CKZ2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7136 PE=3 SV=1,8407677.126,7738604.846,7489721.407,8799926.633,7918502.692,7798252.127,7409971.335,6410941.665,6392234.241,7107212.329,6138934.626,6042406.987,7309693.863,6250000,6272691.729
A0A6S8CKZ5,tr|A0A6S8CKZ5|A0A6S8CKZ5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7133 PE=4 SV=1,684918.6195,916578.2695,785623.2931,516806.7272,795275.7794,734173.809,454866.7592,794523.9587,769501.1031,493664.3886,846657.7738,764391.3601,475071.0658,811240,714291.7272
A0A6S8CLC9,tr|A0A6S8CLC9|A0A6S8CLC9_9STRA UBA domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7153 PE=4 SV=1;tr|A0A6S8DF18|A0A6S8DF18_9STRA PUB domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7149 PE=4 SV=1,582799.3186,571062.0537,658438.9166,623003.6554,613044.7159,745607.6339,711611.6301,688336.8647,821373.2821,730857.459,730778.181,894090.4111,761555.2909,781440,925765.2494
A0A6S8CLF6,tr|A0A6S8CLF6|A0A6S8CLF6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7045 PE=4 SV=1,63767.34573,78517.2141,117394.8548,69125.9203,106636.7416,98517.86261,88118.13352,91292.61526,127471.2701,78467.07937,99191.39779,127035.7513,83661.44502,78082,152758.0713
A0A6S8CLG1,tr|A0A6S8CLG1|A0A6S8CLG1_9STRA Cupin_7 domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7441 PE=4 SV=1,382086.3938,410770.6321,409390.3092,335666.1239,442671.1877,430146.7262,356710.4061,557167.4212,515115.2061,414619.4871,591117.5219,560667.1685,397864.1462,594350,563778.1668
A0A6S8CLK8,tr|A0A6S8CLK8|A0A6S8CLK8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_5962 PE=4 SV=1,71864.95945,141600.9378,151856.6935,68433.05777,132307.7991,170057.1718,93830.76309,153274.8028,161391.709,82255.02452,142271.9135,161877.5498,91858.91726,147280,162882.2483
A0A6S8CLV1,tr|A0A6S8CLV1|A0A6S8CLV1_9STRA PKS_ER domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7202 PE=3 SV=1,978634.2181,866940.621,794312.4861,1180214.002,1054003.148,1122720.109,1598988.043,1551056.147,1609858.234,1561578.926,1515770.976,1564171.772,1585125.752,1533200,1561964.711
A0A6S8CLW5,tr|A0A6S8CLW5|A0A6S8CLW5_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7070 PE=4 SV=1,233828.1324,174056.3233,91758.33227,316649.6245,212685.6738,121289.6313,304923.9388,227805.3174,128967.2484,347224.4138,258472.7319,146822.0013,313522.3897,231470,125967.2068
A0A6S8CM10,tr|A0A6S8CM10|A0A6S8CM10_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6392 PE=3 SV=1,158573.7276,69535.66344,108162.3036,126352.9289,65343.12788,96652.9746,125195.402,73887.3087,97934.39554,105455.459,63719.78715,78978.39169,100764.813,68866,96231.01854
A0A6S8CMA4,tr|A0A6S8CMA4|A0A6S8CMA4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4154 PE=4 SV=1,443592.2929,461859.2271,195994.618,383725.5879,357793.5303,154836.0422,401896.0999,334864.2266,156207.9701,353942.3258,318179.2699,146554.4552,390408.832,342650,149785.2882
A0A6S8CMC1,tr|A0A6S8CMC1|A0A6S8CMC1_9STRA Prolyl-tRNA synthetase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4157 PE=3 SV=1,1802291.226,1444551.026,1748615.023,2313301.9,1999565.588,2447246.03,2089660.161,2011374.584,2449925.447,2119439.938,1931706.49,2380795.427,1855563.622,1581000,1957858.235
A0A6S8CMC9,tr|A0A6S8CMC9|A0A6S8CMC9_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7578 PE=4 SV=1,378854.9773,515171.9707,382971.0787,325966.0486,419979.7161,297950.6161,372121.3483,455165.0403,331631.724,338189.3767,409314.119,282188.1651,316912.7023,392820,273830.334
A0A6S8CMD7,tr|A0A6S8CMD7|A0A6S8CMD7_9STRA Propanoyl-CoA:carbon dioxide ligase subunit alpha OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7579 PE=4 SV=1,4881945.596,5419285.723,4729030.923,3584217.905,3866468.665,3287044.89,3006422.078,3130204.119,2644402.63,2835472.466,2893829.372,2443060.7,3002816.167,3101400,2619630.794
A0A6S8CME4,tr|A0A6S8CME4|A0A6S8CME4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7103 PE=3 SV=1,792378.204,1053272.717,659028.7835,875984.3677,1120081.038,703300.0847,754648.2349,1066326.884,550415.6561,706460.5242,979230.7425,516169.3881,722816.8933,1006800,541953.8796
A0A6S8CMG9,tr|A0A6S8CMG9|A0A6S8CMG9_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6037 PE=3 SV=1,121311.6263,176662.2999,323632.7382,142546.443,229438.2431,419707.668,111489.477,175941.9985,298325.9118,112465.2003,193181.0111,294507.4468,119414.3435,188150,306435.437
A0A6S8CML1,tr|A0A6S8CML1|A0A6S8CML1_9STRA Prefoldin subunit 4 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7491 PE=3 SV=1,146187.5392,195419.6035,291904.7057,158596.8037,210861.4376,300203.8227,156121.4514,206397.4103,329393.5549,160634.5551,206351.2662,294081.8053,156426.6615,182950,286986.9885
A0A6S8CMN4,tr|A0A6S8CMN4|A0A6S8CMN4_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7498 PE=4 SV=1,204222.254,87032.93451,90513.94,106821.0771,34540.89933,45420.0905,126258.9818,46358.29006,53235.95455,110883.4851,37814.48608,50121.1129,117738.8656,45760,60395.25247
A0A6S8CMR6,tr|A0A6S8CMR6|A0A6S8CMR6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4180 PE=4 SV=1;tr|A0A6S8B4W4|A0A6S8B4W4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4179 PE=4 SV=1,210864.9129,237172.5024,191026.1238,244156.7359,234586.643,184918.7472,291042.5779,289413.593,261112.0012,316179.6061,338841.338,278783.033,311071.0194,326280,282068.1667
A0A6S8CMT2,tr|A0A6S8CMT2|A0A6S8CMT2_9STRA DNA primase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7506 PE=3 SV=1;tr|A0A6S8CWW4|A0A6S8CWW4_9STRA DNA primase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7507 PE=3 SV=1,57282.71563,13182.61394,88819.20705,66829.73954,18723.75785,108635.719,75048.16336,25704.98746,151720.0351,80597.43373,24407.97467,137944.3353,87242.91952,26447,135780.9727
A0A6S8CMY8,tr|A0A6S8CMY8|A0A6S8CMY8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7518 PE=4 SV=1,2406015.738,1693312.01,1615894.972,2087004.984,1511987.786,1486157.538,1755071.118,1248826.871,1265899.185,1554049.729,1108954.128,1150594.151,1606715.803,1134100,1226840.126
A0A6S8CNC6,tr|A0A6S8CNC6|A0A6S8CNC6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7059 PE=3 SV=1,1718209.006,1498388.783,1934082.785,1681766.301,1394729.935,1873637.161,1557322.031,1409918.95,1732667.618,1513485.447,1362307.973,1686391.694,1435063.658,1371300,1589304.764
A0A6S8CNJ3,tr|A0A6S8CNJ3|A0A6S8CNJ3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4217 PE=3 SV=1,53971.73979,156597.2351,226792.4758,54753.31758,154705.366,257225.1055,64324.64758,172319.1219,247740.97,60105.1758,157524.9547,250143.4394,71966.83443,190730,250024.1915
A0A6S8CNM2,tr|A0A6S8CNM2|A0A6S8CNM2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7317 PE=3 SV=1;tr|A0A6S8D1W1|A0A6S8D1W1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7316 PE=3 SV=1,130226.6303,180795.5887,147387.3175,111894.4341,139442.5896,134653.064,112947.7874,136274.406,121475.76,112330.9588,124303.9967,107119.3766,115664.1967,135490,134873.6172
A0A6S8CNR1,tr|A0A6S8CNR1|A0A6S8CNR1_9STRA SAM domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6513 PE=4 SV=1,694672.811,751857.6423,711413.5008,722638.4312,766919.0409,786369.1,759637.1916,848518.3814,798492.9313,893464.7806,1074655.51,962509.2448,868549.733,1082400,926254.7438
A0A6S8CNR6,tr|A0A6S8CNR6|A0A6S8CNR6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7328 PE=4 SV=1,18840.30261,40693.326,9353.247038,30060.49899,61979.43899,11839.04256,32217.14749,54980.5426,13462.64533,32352.78694,62782.01525,13191.2387,25702.84247,47511,11871.7914
A0A6S8CNU1,tr|A0A6S8CNU1|A0A6S8CNU1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7334 PE=4 SV=1;tr|A0A6S8CT27|A0A6S8CT27_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7333 PE=4 SV=1,67391.10961,383823.1164,140637.879,70087.91123,384457.783,162698.295,89324.25493,475139.2957,165531.7421,90846.48099,451550.1219,176373.6838,80085.59294,360190,119806.7406
A0A6S8CNZ9,tr|A0A6S8CNZ9|A0A6S8CNZ9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_6530 PE=3 SV=1,294680.1192,197911.0317,276454.7306,287383.3406,194595.3313,265998.229,265445.3922,163600.9697,269194.9229,236399.2945,150623.7825,229092.4261,211380.0865,137320,212870.3722
A0A6S8CP40,tr|A0A6S8CP40|A0A6S8CP40_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_7704 PE=4 SV=1,41800.25258,41120.01886,145141.2859,39382.64927,33572.02721,90955.23836,53621.96481,33551.32446,96455.8123,49860.7978,26132.23151,76925.58346,45297.49986,26015,74042.59529
