#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG2153	KOG2153	1	0.762784	0.000142	Protein involved in the nuclear export of pre-ribosomes
KOG2154	KOG2154	1	0.932673	0.000174	Predicted nucleolar protein involved in ribosome biogenesis
KOG2155	KOG2155	2	0.798732	0.000149	Tubulin-tyrosine ligase-related protein
KOG2156	KOG2156	11	4.648036	0.000869	Tubulin-tyrosine ligase-related protein
KOG2157	KOG2157	25	12.054325	0.002254	Predicted tubulin-tyrosine ligase
KOG2158	KOG2158	2	1.033628	0.000193	Tubulin-tyrosine ligase-related protein
KOG2159	KOG2159	2	1.149038	0.000214	tRNA nucleotidyltransferase/poly(A) polymerase
KOG2160	KOG2160	3	1.891812	0.000353	Armadillo/beta-catenin-like repeat-containing protein
KOG2162	KOG2162	1	0.493039	9.2e-05	Nonsense-mediated mRNA decay protein
KOG2163	KOG2163	1	0.692628	0.000129	Centromere/kinetochore protein zw10 involved in mitotic chromosome segregation
KOG2164	KOG2164	6	1.962962	0.000367	Predicted E3 ubiquitin ligase
KOG2165	KOG2165	1	0.738562	0.000138	Anaphase-promoting complex (APC), subunit 2
KOG2167	KOG2167	4	3.956127	0.00074	Cullins
KOG2168	KOG2168	1	0.595209	0.000111	Cullins
KOG2169	KOG2169	2	0.72327	0.000135	Zn-finger transcription factor
KOG2170	KOG2170	1	0.209302	3.9e-05	ATPase of the AAA+ superfamily
KOG2171	KOG2171	4	3.047441	0.00057	Karyopherin (importin) beta 3
KOG2172	KOG2172	2	1.307339	0.000244	Uncharacterized conserved protein
KOG2173	KOG2173	1	0.780918	0.000146	Integral membrane protein
KOG2175	KOG2175	1	0.975982	0.000182	Protein predicted to be involved in carbohydrate metabolism
KOG2176	KOG2176	1	0.429054	8e-05	Exocyst complex, subunit SEC15
KOG2177	KOG2177	5	0.843558	0.000157	Predicted E3 ubiquitin ligase
KOG2178	KOG2178	1	0.80929	0.000151	Predicted sugar kinase
KOG2179	KOG2179	1	0.452914	8.4e-05	Nucleotide excision repair complex XPC-HR23B, subunit XPC/DPB11
KOG2180	KOG2180	1	0.894073	0.000167	Late Golgi protein sorting complex, subunit Vps53
KOG2182	KOG2182	1	0.879377	0.000164	Hydrolytic enzymes of the alpha/beta hydrolase fold
KOG2183	KOG2183	2	1.689024	0.000315	Prolylcarboxypeptidase (angiotensinase C)
KOG2184	KOG2184	1	0.071707	1.3e-05	Tuftelin-interacting protein TIP39, contains G-patch domain
KOG2186	KOG2186	1	0.503623	9.4e-05	Cell growth-regulating nucleolar protein
KOG2187	KOG2187	4	2.440074	0.000456	tRNA uracil-5-methyltransferase and related tRNA-modifying enzymes
KOG2188	KOG2188	1	0.827692	0.000154	Predicted RNA-binding protein, contains Pumilio domains
KOG2189	KOG2189	1	0.989143	0.000185	Vacuolar H+-ATPase V0 sector, subunit a
KOG2190	KOG2190	2	0.882474	0.000165	PolyC-binding proteins alphaCP-1 and related KH domain proteins
KOG2191	KOG2191	1	0.726368	0.000135	RNA-binding protein NOVA1/PASILLA and related KH domain proteins
KOG2195	KOG2195	1	0.957264	0.000179	Transferrin receptor and related proteins containing the protease-associated (PA) domain
KOG2196	KOG2196	1	0.948818	0.000177	Nuclear porin
KOG2198	KOG2198	6	4.525333	0.000846	tRNA cytosine-5-methylases and related enzymes of the NOL1/NOP2/sun superfamily
KOG2199	KOG2199	7	1.257575	0.000235	Signal transducing adaptor protein STAM/STAM2
KOG2200	KOG2200	2	0.660237	0.000123	Tumour suppressor protein p122-RhoGAP/DLC1
KOG2201	KOG2201	2	1.603773	0.0003	Pantothenate kinase PanK and related proteins
KOG2202	KOG2202	1	0.75	0.00014	U2 snRNP splicing factor, small subunit, and related proteins
KOG2205	KOG2205	1	0.35849	6.7e-05	Uncharacterized conserved protein
KOG2206	KOG2206	2	0.931586	0.000174	Exosome 3'-5' exoribonuclease complex, subunit PM/SCL-100 (Rrp6)
KOG2207	KOG2207	2	0.627228	0.000117	Predicted 3'-5' exonuclease
KOG2208	KOG2208	1	0.941567	0.000176	Vigilin
KOG2211	KOG2211	1	0.776662	0.000145	Predicted Golgi transport complex 1 protein
KOG2214	KOG2214	2	1.265193	0.000236	Predicted esterase of the alpha-beta hydrolase superfamily
KOG2216	KOG2216	1	0.745874	0.000139	Conserved coiled/coiled coil protein
KOG2217	KOG2217	1	0.246808	4.6e-05	U4/U6.U5 snRNP associated protein
KOG2218	KOG2218	1	0.979647	0.000183	ER to golgi transport protein/RAD50-interacting protein 1
KOG2219	KOG2219	1	0.197916	3.7e-05	Uncharacterized conserved protein
KOG2220	KOG2220	1	0.964985	0.00018	Predicted signal transduction protein
KOG2222	KOG2222	1	0.385613	7.2e-05	Uncharacterized conserved protein, contains TBC, SH3 and RUN domains
KOG2223	KOG2223	3	1.522184	0.000284	Uncharacterized conserved protein, contains TBC domain
KOG2226	KOG2226	1	0.996183	0.000186	Proteins containing regions of low-complexity
KOG2227	KOG2227	1	0.839319	0.000157	Pre-initiation complex, subunit CDC6, AAA+ superfamily ATPase
KOG2228	KOG2228	1	0.987745	0.000184	Origin recognition complex, subunit 4
KOG2229	KOG2229	1	0.678571	0.000126	Protein required for actin cytoskeleton organization and cell cycle progression
KOG2230	KOG2230	1	0.723183	0.000135	Predicted beta-mannosidase
KOG2231	KOG2231	1	0.321375	6e-05	Predicted E3 ubiquitin ligase
KOG2232	KOG2232	2	1.771117	0.000331	Ceramidases
KOG2233	KOG2233	2	1.411411	0.000264	Alpha-N-acetylglucosaminidase
KOG2234	KOG2234	3	2.428985	0.000454	Predicted UDP-galactose transporter
KOG2235	KOG2235	1	0.479381	8.9e-05	Uncharacterized conserved protein
KOG2236	KOG2236	2	0.977225	0.000182	Uncharacterized conserved protein
KOG2237	KOG2237	3	1.696629	0.000317	Predicted serine protease
KOG2239	KOG2239	1	0.703349	0.000131	Transcription factor containing NAC and TS-N domains
KOG2240	KOG2240	1	0.925925	0.000173	RNA polymerase II general transcription factor BTF3 and related proteins
KOG2241	KOG2241	3	2.313725	0.000432	tRNA-binding protein
KOG2243	KOG2243	4	0.106196	1.9e-05	Ca2+ release channel (ryanodine receptor)
KOG2245	KOG2245	1	0.820284	0.000153	Poly(A) polymerase and related nucleotidyltransferases
KOG2246	KOG2246	3	1.662087	0.00031	Galactosyltransferases
KOG2247	KOG2247	3	1.920325	0.000359	WD40 repeat-containing protein
KOG2248	KOG2248	2	0.976315	0.000182	3'-5' exonuclease
KOG2249	KOG2249	2	1.542857	0.000288	3'-5' exonuclease
KOG2250	KOG2250	5	4.344357	0.000812	Glutamate/leucine/phenylalanine/valine dehydrogenases
KOG2253	KOG2253	1	0.073353	1.3e-05	U1 snRNP complex, subunit SNU71 and related PWI-motif proteins
KOG2255	KOG2255	1	0.700892	0.000131	Peptidyl-tRNA hydrolase
KOG2256	KOG2256	1	0.804841	0.00015	Predicted protein involved in nuclear export of pre-ribosomes
KOG2258	KOG2258	3	1.398826	0.000261	Glycerophosphoryl diester phosphodiesterase
KOG2260	KOG2260	1	0.932795	0.000174	Cell division cycle 37 protein, CDC37
KOG2261	KOG2261	1	0.131284	2.4e-05	Polycomb enhancer protein, EPC
KOG2262	KOG2262	2	0.09724	1.8e-05	Sexual differentiation process protein ISP4
KOG2264	KOG2264	1	0.074972	1.4e-05	Exostosin EXT1L
KOG2265	KOG2265	4	3.318435	0.00062	Nuclear distribution protein NUDC
KOG2266	KOG2266	3	0.693602	0.000129	Chromatin-associated protein Dek and related proteins, contains SAP DNA binding domain
KOG2267	KOG2267	1	0.890526	0.000166	Eukaryotic-type DNA primase, large subunit
KOG2268	KOG2268	1	0.935483	0.000174	Serine/threonine protein kinase
KOG2269	KOG2269	1	0.623352	0.000116	Serine/threonine protein kinase
KOG2270	KOG2270	2	0.905769	0.000169	Serine/threonine protein kinase involved in cell cycle control
KOG2271	KOG2271	1	0.553097	0.000103	Nuclear pore complex component (sc Nup85)
KOG2273	KOG2273	10	3.598409	0.000673	Membrane coat complex Retromer, subunit VPS5/SNX1, Sorting nexins, and related PX domain-containing proteins
KOG2275	KOG2275	4	3.661904	0.000685	Aminoacylase ACY1 and related metalloexopeptidases
KOG2276	KOG2276	3	2.906976	0.000543	Metalloexopeptidases
KOG2277	KOG2277	2	0.630872	0.000118	S-M checkpoint control protein CID1 and related nucleotidyltransferases
KOG2278	KOG2278	2	1.758454	0.000328	RNA:NAD 2'-phosphotransferase TPT1
KOG2280	KOG2280	2	1.61158	0.000301	Vacuolar assembly/sorting protein VPS16
KOG2281	KOG2281	1	0.825836	0.000154	Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
KOG2282	KOG2282	1	0.673728	0.000126	NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit
KOG2283	KOG2283	3	1.571428	0.000293	Clathrin coat dissociation kinase GAK/PTEN/Auxilin and related tyrosine phosphatases
KOG2286	KOG2286	2	0.766116	0.000143	Exocyst complex subunit SEC6
KOG2289	KOG2289	2	1.509493	0.000282	Rhomboid family proteins
KOG2292	KOG2292	1	0.930758	0.000174	Oligosaccharyltransferase, STT3 subunit
KOG2295	KOG2295	1	0.297839	5.5e-05	C2H2 Zn-finger protein
KOG2296	KOG2296	1	0.692421	0.000129	Integral membrane protein
KOG2298	KOG2298	2	1.93823	0.000362	Glycyl-tRNA synthetase and related class II tRNA synthetase
KOG2299	KOG2299	2	1.455149	0.000272	Ribonuclease HI
KOG2301	KOG2301	9	3.428391	0.000641	Voltage-gated Ca2+ channels, alpha1 subunits
KOG2302	KOG2302	4	0.492842	9.2e-05	T-type voltage-gated Ca2+ channel, pore-forming alpha1I subunit
KOG2303	KOG2303	1	0.97592	0.000182	Predicted NAD synthase, contains CN hydrolase domain
KOG2304	KOG2304	2	1.496644	0.000279	3-hydroxyacyl-CoA dehydrogenase
KOG2307	KOG2307	1	0.953191	0.000178	Low density lipoprotein receptor
KOG2308	KOG2308	1	0.453441	8.4e-05	Phosphatidic acid-preferring phospholipase A1, contains DDHD domain
KOG2309	KOG2309	1	1	0.000187	60s ribosomal protein L2/L8
KOG2310	KOG2310	2	1.123839	0.00021	DNA repair exonuclease MRE11
KOG2313	KOG2313	1	0.91	0.00017	Stress-induced protein UVI31+
KOG2314	KOG2314	1	0.938395	0.000175	Translation initiation factor 3, subunit b (eIF-3b)
KOG2315	KOG2315	1	0.91166	0.00017	Predicted translation initiation factor related to eIF-3a
KOG2316	KOG2316	2	1.67148	0.000312	Predicted ATPase (PP-loop superfamily)
KOG2317	KOG2317	5	3.507246	0.000656	Putative translation initiation inhibitor UK114/IBM1
KOG2318	KOG2318	1	0.990769	0.000185	Uncharacterized conserved protein
KOG2320	KOG2320	5	0.706605	0.000132	RAS effector RIN1 (contains VPS domain)
KOG2321	KOG2321	2	1.214793	0.000227	WD40 repeat protein
KOG2322	KOG2322	2	1.810126	0.000338	N-methyl-D-aspartate receptor glutamate-binding subunit
KOG2323	KOG2323	3	2.812375	0.000526	Pyruvate kinase
KOG2324	KOG2324	1	0.864332	0.000161	Prolyl-tRNA synthetase
KOG2325	KOG2325	4	3.268442	0.000611	Predicted transporter/transmembrane protein
KOG2326	KOG2326	1	0.991031	0.000185	DNA-binding subunit of a DNA-dependent protein kinase (Ku80 autoantigen)
KOG2327	KOG2327	1	0.991694	0.000185	DNA-binding subunit of a DNA-dependent protein kinase (Ku70 autoantigen)
KOG2328	KOG2328	1	0.95584	0.000178	Chromosome condensation complex Condensin, subunit H
KOG2329	KOG2329	2	1.597826	0.000298	Alkaline ceramidase
KOG2330	KOG2330	1	0.57	0.000106	Splicing factor 3b, subunit 2
KOG2333	KOG2333	1	0.574918	0.000107	Uncharacterized conserved protein
KOG2334	KOG2334	1	0.59958	0.000112	tRNA-dihydrouridine synthase
KOG2335	KOG2335	3	2.435754	0.000455	tRNA-dihydrouridine synthase
KOG2336	KOG2336	2	1.454976	0.000272	Molybdopterin biosynthesis-related protein
KOG2337	KOG2337	1	0.968609	0.000181	Ubiquitin activating E1 enzyme-like protein
KOG2338	KOG2338	6	2.369696	0.000443	Transcriptional effector CCR4-related protein
KOG2339	KOG2339	2	1.623397	0.000303	Uncharacterized conserved protein
KOG2340	KOG2340	1	0.666189	0.000124	Uncharacterized conserved protein
KOG2342	KOG2342	1	0.975	0.000182	Uncharacterized conserved protein
KOG2343	KOG2343	1	0.960812	0.000179	Glucose-repressible protein and related proteins
KOG2344	KOG2344	1	0.382022	7.1e-05	Exocyst component protein and related proteins
KOG2345	KOG2345	2	1.940397	0.000362	Serine/threonine protein kinase/TGF-beta stimulated factor
KOG2346	KOG2346	1	0.998427	0.000186	Uncharacterized conserved protein
KOG2347	KOG2347	2	0.300856	5.6e-05	Sec5 subunit of exocyst complex
KOG2349	KOG2349	2	1.707692	0.000319	Na+:iodide/myo-inositol/multivitamin symporters
KOG2351	KOG2351	1	0.947761	0.000177	RNA polymerase II, fourth largest subunit
KOG2352	KOG2352	9	3.62863	0.000678	Predicted spermine/spermidine synthase
KOG2353	KOG2353	4	0.470108	8.7e-05	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit
KOG2354	KOG2354	1	0.769058	0.000143	RNA Polymerase C (III) 37 kDa subunit
KOG2355	KOG2355	1	0.869415	0.000162	Predicted ABC-type transport, ATPase component/CCR4 associated factor
KOG2357	KOG2357	1	0.445454	8.3e-05	Uncharacterized conserved protein
KOG2358	KOG2358	2	1.863849	0.000348	NifU-like domain-containing proteins
KOG2359	KOG2359	1	0.164244	3e-05	Uncharacterized conserved protein
KOG2360	KOG2360	1	0.958837	0.000179	Proliferation-associated nucleolar protein (NOL1)
KOG2361	KOG2361	3	2.405303	0.000449	Predicted methyltransferase
KOG2362	KOG2362	2	1.410714	0.000263	Uncharacterized Fe-S protein
KOG2363	KOG2363	1	0.68421	0.000127	Protein subunit of nuclear ribonuclease P (RNase P)
KOG2364	KOG2364	1	0.521939	9.7e-05	Predicted pseudouridylate synthase
KOG2365	KOG2365	1	0.27599	5.1e-05	Uncharacterized membrane protein
KOG2366	KOG2366	6	3.444444	0.000644	Alpha-D-galactosidase (melibiase)
KOG2367	KOG2367	1	0.894642	0.000167	Alpha-isopropylmalate synthase/homocitrate synthase
KOG2368	KOG2368	2	1.844936	0.000345	Hydroxymethylglutaryl-CoA lyase
KOG2369	KOG2369	2	1.680761	0.000314	Lecithin:cholesterol acyltransferase (LCAT)/Acyl-ceramide synthase
KOG2370	KOG2370	1	0.873194	0.000163	Cactin
KOG2371	KOG2371	2	1.294403	0.000242	Molybdopterin biosynthesis protein
KOG2372	KOG2372	7	4.124481	0.000771	Oxidation resistance protein
KOG2373	KOG2373	1	0.739299	0.000138	Predicted mitochondrial DNA helicase twinkle
KOG2374	KOG2374	1	0.372163	6.9e-05	Uncharacterized conserved protein
KOG2375	KOG2375	2	0.657407	0.000122	Protein interacting with poly(A)-binding protein
KOG2376	KOG2376	1	0.930981	0.000174	Signal recognition particle, subunit Srp72
KOG2377	KOG2377	2	0.611872	0.000114	Uncharacterized conserved protein
KOG2379	KOG2379	1	0.455089	8.5e-05	Endonuclease MUS81
KOG2380	KOG2380	1	0.516666	9.6e-05	Prephenate dehydrogenase (NADP+)
KOG2381	KOG2381	4	2.541958	0.000475	Phosphatidylinositol 4-kinase
KOG2382	KOG2382	1	0.850793	0.000159	Predicted alpha/beta hydrolase
KOG2383	KOG2383	2	1.802997	0.000337	Predicted ATPase
KOG2384	KOG2384	1	0.237668	4.4e-05	Major histocompatibility complex protein BAT4, contains G-patch and ankyrin domains
KOG2385	KOG2385	1	0.619273	0.000115	Uncharacterized conserved protein
KOG2386	KOG2386	2	1.312977	0.000245	mRNA capping enzyme, guanylyltransferase (alpha) subunit
KOG2387	KOG2387	1	0.936752	0.000175	CTP synthase (UTP-ammonia lyase)
KOG2388	KOG2388	3	2.603773	0.000487	UDP-N-acetylglucosamine pyrophosphorylase
KOG2389	KOG2389	1	0.354107	6.6e-05	Predicted bromodomain transcription factor
KOG2390	KOG2390	1	0.415545	7.7e-05	Uncharacterized conserved protein
KOG2391	KOG2391	1	0.901369	0.000168	Vacuolar sorting protein/ubiquitin receptor VPS23
KOG2393	KOG2393	3	0.98018	0.000183	Transcription initiation factor IIF, large subunit (RAP74)
KOG2396	KOG2396	1	0.392605	7.3e-05	HAT (Half-A-TPR) repeat-containing protein
KOG2397	KOG2397	7	1.3625	0.000254	Protein kinase C substrate, 80 KD protein, heavy chain
KOG2398	KOG2398	1	0.366612	6.8e-05	Predicted proline-serine-threonine phosphatase-interacting protein (PSTPIP)
KOG2399	KOG2399	1	0.806324	0.00015	K+-dependent Na+:Ca2+ antiporter
KOG2402	KOG2402	1	0.79619	0.000148	Paf1/RNA polymerase II complex, RTF1 component (involved in regulation of TATA box-binding protein)
KOG2403	KOG2403	1	0.953271	0.000178	Succinate dehydrogenase, flavoprotein subunit
KOG2404	KOG2404	3	2.895178	0.000541	Fumarate reductase, flavoprotein subunit
KOG2406	KOG2406	1	0.910236	0.00017	MADS box transcription factor
KOG2407	KOG2407	1	0.93913	0.000175	GPI transamidase complex, GPI16/PIG-T component, involved in glycosylphosphatidylinositol anchor biosynthesis
KOG2409	KOG2409	1	0.88408	0.000165	KRR1-interacting protein involved in 40S ribosome biogenesis
KOG2410	KOG2410	1	0.930915	0.000174	Gamma-glutamyltransferase
KOG2411	KOG2411	1	0.934713	0.000174	Aspartyl-tRNA synthetase, mitochondrial
KOG2412	KOG2412	3	0.808798	0.000151	Nuclear-export-signal (NES)-containing protein/polyadenylated-RNA export factor
KOG2413	KOG2413	1	0.981818	0.000183	Xaa-Pro aminopeptidase
KOG2415	KOG2415	1	0.904991	0.000169	Electron transfer flavoprotein ubiquinone oxidoreductase
KOG2416	KOG2416	1	0.467966	8.7e-05	Acinus (induces apoptotic chromatin condensation)
KOG2417	KOG2417	1	0.980519	0.000183	Predicted G-protein coupled receptor
KOG2418	KOG2418	3	0.984375	0.000184	Microtubule-associated protein TAU
KOG2419	KOG2419	1	0.25641	4.7e-05	Phosphatidylserine decarboxylase
KOG2420	KOG2420	2	1.507853	0.000282	Phosphatidylserine decarboxylase
KOG2422	KOG2422	1	0.637593	0.000119	Uncharacterized conserved protein
KOG2423	KOG2423	1	0.797202	0.000149	Nucleolar GTPase
KOG2424	KOG2424	1	0.96923	0.000181	Protein involved in transcription start site selection
KOG2425	KOG2425	1	0.303839	5.6e-05	Nuclear protein involved in cell morphogenesis and cell surface growth
KOG2426	KOG2426	1	0.993127	0.000185	Dihydroxyacetone kinase/glycerone kinase
KOG2427	KOG2427	1	0.652173	0.000121	Uncharacterized conserved protein
KOG2428	KOG2428	1	0.593679	0.000111	Uncharacterized conserved protein
KOG2429	KOG2429	2	1.340836	0.00025	Glycosyl hydrolase, family 47
KOG2431	KOG2431	1	0.324175	6e-05	1, 2-alpha-mannosidase
KOG2432	KOG2432	2	1.099115	0.000205	Uncharacterized conserved protein
KOG2433	KOG2433	1	0.398613	7.4e-05	Uncharacterized conserved protein
KOG2434	KOG2434	1	0.86	0.00016	RNA polymerase I transcription factor
KOG2435	KOG2435	1	0.609907	0.000114	Uncharacterized conserved protein
KOG2436	KOG2436	2	1.35	0.000252	Acetylglutamate kinase/acetylglutamate synthase
KOG2438	KOG2438	1	0.958415	0.000179	Glutamyl-tRNA amidotransferase subunit B
KOG2439	KOG2439	1	0.993464	0.000185	Nuclear architecture related protein
KOG2440	KOG2440	1	1	0.000187	Pyrophosphate-dependent phosphofructo-1-kinase
KOG2441	KOG2441	1	0.901185	0.000168	mRNA splicing factor/probable chromatin binding snw family nuclear protein
KOG2442	KOG2442	8	1.724584	0.000322	Uncharacterized conserved protein, contains PA domain
KOG2443	KOG2443	1	0.906077	0.000169	Uncharacterized conserved protein
KOG2444	KOG2444	1	0.764705	0.000143	WD40 repeat protein
KOG2445	KOG2445	1	0.905817	0.000169	Nuclear pore complex component (sc Seh1)
KOG2446	KOG2446	1	0.974358	0.000182	Glucose-6-phosphate isomerase
KOG2448	KOG2448	2	1.877516	0.000351	Dihydroxy-acid dehydratase
KOG2450	KOG2450	10	9.269461	0.001734	Aldehyde dehydrogenase
KOG2451	KOG2451	3	2.214711	0.000414	Aldehyde dehydrogenase
KOG2453	KOG2453	1	0.978303	0.000183	Aldehyde dehydrogenase
KOG2454	KOG2454	2	1.71355	0.00032	Betaine aldehyde dehydrogenase
KOG2456	KOG2456	2	1.893081	0.000354	Aldehyde dehydrogenase
KOG2457	KOG2457	1	0.601801	0.000112	A/G-specific adenine DNA glycosylase
KOG2458	KOG2458	4	1.85606	0.000347	Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif
KOG2459	KOG2459	1	0.557835	0.000104	GPI transamidase complex, GPI17/PIG-S component, involved in glycosylphosphatidylinositol anchor biosynthesis
KOG2460	KOG2460	1	0.971332	0.000181	Signal recognition particle, subunit Srp68
KOG2461	KOG2461	1	0.287878	5.3e-05	Transcription factor BLIMP-1/PRDI-BF1, contains C2H2-type Zn-finger and SET domains
KOG2462	KOG2462	13	5.584229	0.001044	C2H2-type Zn-finger protein
KOG2463	KOG2463	1	0.973404	0.000182	Predicted RNA-binding protein Nob1p involved in 26S proteasome assembly
KOG2467	KOG2467	2	1.930817	0.000361	Glycine/serine hydroxymethyltransferase
KOG2468	KOG2468	1	0.515686	9.6e-05	Dolichol kinase
KOG2469	KOG2469	1	0.740566	0.000138	IMP-GMP specific 5'-nucleotidase
KOG2470	KOG2470	1	0.882352	0.000165	Similar to IMP-GMP specific 5'-nucleotidase
KOG2471	KOG2471	1	0.863505	0.000161	TPR repeat-containing protein
KOG2472	KOG2472	1	1	0.000187	Phenylalanyl-tRNA synthetase beta subunit
KOG2473	KOG2473	1	0.739669	0.000138	RNA polymerase III transcription factor (TF)IIIC subunit
KOG2474	KOG2474	4	2.105911	0.000393	Zinc transporter and related ZIP domain-containing proteins
KOG2475	KOG2475	1	0.982964	0.000183	CDC45 (cell division cycle 45)-like protein
KOG2476	KOG2476	1	0.984848	0.000184	Uncharacterized conserved protein
KOG2477	KOG2477	1	0.367834	6.8e-05	Uncharacterized conserved protein
KOG2478	KOG2478	1	0.460176	8.6e-05	Putative RNA polymerase II regulator
KOG2479	KOG2479	1	0.950819	0.000177	Translation initiation factor 3, subunit d (eIF-3d)
KOG2480	KOG2480	2	1.310631	0.000245	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) reductase
KOG2481	KOG2481	1	0.922807	0.000172	Protein required for normal rRNA processing
KOG2484	KOG2484	2	1.301149	0.000243	GTPase
KOG2485	KOG2485	1	0.868656	0.000162	Conserved ATP/GTP binding protein
KOG2486	KOG2486	1	0.4	7.4e-05	Predicted GTPase
KOG2487	KOG2487	1	0.891719	0.000166	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB4
KOG2488	KOG2488	3	1.891089	0.000353	Acetyltransferase (GNAT) domain-containing protein
KOG2489	KOG2489	1	0.601351	0.000112	Transmembrane protein
KOG2490	KOG2490	1	0.65391	0.000122	Predicted membrane protein
KOG2491	KOG2491	1	0.778931	0.000145	Nuclear matrix protein
KOG2492	KOG2492	1	0.860507	0.00016	CDK5 activator-binding protein
KOG2495	KOG2495	3	2.289205	0.000428	NADH-dehydrogenase (ubiquinone)
KOG2496	KOG2496	1	0.975384	0.000182	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit
KOG2499	KOG2499	3	1.850553	0.000346	Beta-N-acetylhexosaminidase
KOG2500	KOG2500	1	0.715415	0.000133	Uncharacterized conserved protein
KOG2501	KOG2501	4	3.337579	0.000624	Thioredoxin, nucleoredoxin and related proteins
KOG2502	KOG2502	15	6.966197	0.001303	Tub family proteins
KOG2504	KOG2504	12	6.599214	0.001234	Monocarboxylate transporter
KOG2505	KOG2505	2	0.952622	0.000178	Ankyrin repeat protein
KOG2506	KOG2506	1	0.161725	3e-05	SpoU rRNA Methylase family protein
KOG2507	KOG2507	2	0.594861	0.000111	Ubiquitin regulatory protein UBXD2, contains UAS and UBX domains
KOG2508	KOG2508	7	4.176201	0.000781	Predicted phospholipase
KOG2509	KOG2509	2	1.918681	0.000358	Seryl-tRNA synthetase
KOG2511	KOG2511	1	0.997619	0.000186	Nicotinic acid phosphoribosyltransferase
KOG2512	KOG2512	5	2.480712	0.000464	Beta-tubulin folding cofactor C
KOG2513	KOG2513	2	1.44204	0.000269	Protein required for meiotic chromosome segregation
KOG2514	KOG2514	1	0.753774	0.000141	Uncharacterized conserved protein
KOG2515	KOG2515	1	0.929577	0.000173	Mannosyltransferase
KOG2516	KOG2516	1	0.779497	0.000145	Protein involved in dolichol pathway for N-glycosylation (mannosyltransferase family)
KOG2517	KOG2517	4	3.255813	0.000609	Ribulose kinase and related carbohydrate kinases
KOG2518	KOG2518	1	0.519784	9.7e-05	5'-3' exonuclease
KOG2519	KOG2519	2	1.048997	0.000196	5'-3' exonuclease
KOG2520	KOG2520	1	0.334969	6.2e-05	5'-3' exonuclease
KOG2521	KOG2521	2	1.302857	0.000243	Uncharacterized conserved protein
KOG2522	KOG2522	1	0.996428	0.000186	Filamentous baseplate protein Ligatin, contains PUA domain
KOG2523	KOG2523	1	0.9779	0.000182	Predicted RNA-binding protein with PUA domain
KOG2525	KOG2525	3	2.0625	0.000385	Folylpolyglutamate synthase
KOG2527	KOG2527	2	1.451388	0.000271	Sorting nexin SNX11
KOG2529	KOG2529	2	1.359493	0.000254	Pseudouridine synthase
KOG2530	KOG2530	4	1.335403	0.000249	Members of tubulin/FtsZ family
KOG2531	KOG2531	1	0.92477	0.000172	Sugar (pentulose and hexulose) kinases
KOG2532	KOG2532	2	1.748927	0.000327	Permease of the major facilitator superfamily
KOG2533	KOG2533	6	4.365656	0.000816	Permease of the major facilitator superfamily
KOG2534	KOG2534	2	1.195467	0.000223	DNA polymerase IV (family X)
KOG2535	KOG2535	2	1.548736	0.000289	RNA polymerase II elongator complex, subunit ELP3/histone acetyltransferase
KOG2536	KOG2536	1	0.460076	8.6e-05	MAM33, mitochondrial matrix glycoprotein
KOG2537	KOG2537	1	0.97217	0.000181	Phosphoglucomutase/phosphomannomutase
KOG2538	KOG2538	1	0.134948	2.5e-05	Origin recognition complex, subunit 3
KOG2539	KOG2539	1	0.782077	0.000146	Mitochondrial/chloroplast ribosome small subunit component
KOG2540	KOG2540	1	0.892193	0.000166	Cytochrome oxidase assembly factor COX11
KOG2541	KOG2541	2	1.236486	0.000231	Palmitoyl protein thioesterase
KOG2542	KOG2542	1	0.912	0.00017	Uncharacterized conserved protein (YdiU family)
KOG2544	KOG2544	1	0.634317	0.000118	Dihydropteroate synthase/7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase/Dihydroneopterin aldolase
KOG2545	KOG2545	1	0.98895	0.000184	Conserved membrane protein
KOG2548	KOG2548	1	0.166921	3.1e-05	SWAP mRNA splicing regulator
KOG2549	KOG2549	1	0.63368	0.000118	Transcription initiation factor TFIID, subunit TAF6 (also component of histone acetyltransferase SAGA)
KOG2550	KOG2550	4	2.980119	0.000557	IMP dehydrogenase/GMP reductase
KOG2551	KOG2551	3	2.626086	0.000491	Phospholipase/carboxyhydrolase
KOG2552	KOG2552	1	0.966494	0.00018	Major facilitator superfamily permease - Cdc91p
KOG2553	KOG2553	2	1.677884	0.000313	Pseudouridylate synthase
KOG2554	KOG2554	2	1.543529	0.000288	Pseudouridylate synthase
KOG2555	KOG2555	1	0.993197	0.000185	AICAR transformylase/IMP cyclohydrolase/methylglyoxal synthase
KOG2556	KOG2556	2	0.175675	3.2e-05	Leishmanolysin-like peptidase (Peptidase M8 family)
KOG2557	KOG2557	1	0.34192	6.3e-05	Uncharacterized conserved protein, contains TLDc domain
